key,en,jp
KEY,[key] Key,
MOUSE_BUTTON_1,Left Button,
MOUSE_BUTTON_2,Right Button,
MOUSE_BUTTON_3,Middle Button,
MOUSE_BUTTON_4,Wheel Up,
MOUSE_BUTTON_5,Wheel Down,
MOUSE_BUTTON_6,Wheel Left,
MOUSE_BUTTON_7,Wheel Right,
MOUSE_BUTTON_8,Extra Button 1,
MOUSE_BUTTON_9,Extra Button 2,
JOYPAD_BUTTON_0,A Button,
JOYPAD_BUTTON_1,B Button,
JOYPAD_BUTTON_2,X Button,
JOYPAD_BUTTON_3,Y Button,
JOYPAD_BUTTON_4,Back,
JOYPAD_BUTTON_5,Home,
JOYPAD_BUTTON_6,Menu,
JOYPAD_BUTTON_7,L3,
JOYPAD_BUTTON_8,R3,
JOYPAD_BUTTON_9,L1,
JOYPAD_BUTTON_10,R1,
JOYPAD_BUTTON_11,D-Pad Up,
JOYPAD_BUTTON_12,D-Pad Down,
JOYPAD_BUTTON_13,D-Pad Left,
JOYPAD_BUTTON_14,D-Pad Right,
JOYPAD_AXIS_0,L-Stick,
JOYPAD_AXIS_1,L-Stick,
JOYPAD_AXIS_2,R-Stick,
JOYPAD_AXIS_3,R-Stick,
JOYPAD_AXIS_4,L2,
JOYPAD_AXIS_5,R2,
JOYPAD_MOTION_0_MINUS,L-Stick Left,
JOYPAD_MOTION_0_PLUS,L-Stick Right,
JOYPAD_MOTION_1_MINUS,L-Stick Up,
JOYPAD_MOTION_1_PLUS,L-Stick Down,
JOYPAD_MOTION_2_MINUS,R-Stick Left,
JOYPAD_MOTION_2_PLUS,R-Stick Right,
JOYPAD_MOTION_3_MINUS,R-Stick Up,
JOYPAD_MOTION_3_PLUS,R-Stick Down,
JOYPAD_MOTION_4_PLUS,L2,
JOYPAD_MOTION_5_PLUS,R2,
JOYPAD_BUTTON_PLAYSTATION_0,Cross,
JOYPAD_BUTTON_PLAYSTATION_1,Circle,
JOYPAD_BUTTON_PLAYSTATION_2,Square,
JOYPAD_BUTTON_PLAYSTATION_3,Triangle,
JOYPAD_BUTTON_PLAYSTATION_4,Select,
JOYPAD_BUTTON_PLAYSTATION_5,PS,
JOYPAD_BUTTON_PLAYSTATION_6,Options,
JOYPAD_BUTTON_NINTENDO_0,B,
JOYPAD_BUTTON_NINTENDO_1,A,
JOYPAD_BUTTON_NINTENDO_2,Y,
JOYPAD_BUTTON_NINTENDO_3,X,
JOYPAD_BUTTON_NINTENDO_4,-,
JOYPAD_BUTTON_NINTENDO_6,+,
